team,year,wins,losses,ties,pct,net_pts,pick,playoffs,wildcard,divisional,conf_champ,superbowl
KC,2022,14,3,0,0.824,127,32,1,1,1,1,1
PHI,2022,14,3,0,0.824,133,31,1,1,1,1,0
BUF,2022,13,3,0,0.813,169,28,1,1,0,0,0
MIN,2022,13,4,0,0.765,-3,24,1,0,0,0,0
SF,2022,13,4,0,0.765,173,30,1,1,1,0,0
CIN,2022,12,4,0,0.75,96,29,1,1,1,0,0
DAL,2022,12,5,0,0.706,125,27,1,1,0,0,0
BAL,2022,10,7,0,0.588,35,22,1,0,0,0,0
LAC,2022,10,7,0,0.588,7,23,1,0,0,0,0
NYG,2022,9,7,1,0.559,-6,26,1,1,0,0,0
DET,2022,9,8,0,0.529,26,17,0,0,0,0,0
JAX,2022,9,8,0,0.529,54,25,1,1,0,0,0
MIA,2022,9,8,0,0.529,-2,20,1,0,0,0,0
PIT,2022,9,8,0,0.529,-38,18,0,0,0,0,0
SEA,2022,9,8,0,0.529,6,21,1,0,0,0,0
WAS,2022,8,8,1,0.5,-22,16,0,0,0,0,0
GB,2022,8,9,0,0.471,-2,14,0,0,0,0,0
NE,2022,8,9,0,0.471,17,15,0,0,0,0,0
TB,2022,8,9,0,0.471,-45,19,1,0,0,0,0
ATL,2022,7,10,0,0.412,-21,13,0,0,0,0,0
CAR,2022,7,10,0,0.412,-27,8,0,0,0,0,0
CLE,2022,7,10,0,0.412,-20,11,0,0,0,0,0
NO,2022,7,10,0,0.412,-15,9,0,0,0,0,0
NYJ,2022,7,10,0,0.412,-20,12,0,0,0,0,0
TEN,2022,7,10,0,0.412,-61,10,0,0,0,0,0
LV,2022,6,11,0,0.353,-23,7,0,0,0,0,0
DEN,2022,5,12,0,0.294,-72,6,0,0,0,0,0
LAR,2022,5,12,0,0.294,-77,5,0,0,0,0,0
IND,2022,4,12,1,0.265,-138,4,0,0,0,0,0
ARI,2022,4,13,0,0.235,-109,3,0,0,0,0,0
HOU,2022,3,13,1,0.206,-131,2,0,0,0,0,0
CHI,2022,3,14,0,0.176,-137,1,0,0,0,0,0
GB,2021,13,4,0,0.765,79,28,1,1,0,0,0
TB,2021,13,4,0,0.765,158,27,1,1,0,0,0
DAL,2021,12,5,0,0.706,172,24,1,0,0,0,0
KC,2021,12,5,0,0.706,116,30,1,1,1,0,0
LAR,2021,12,5,0,0.706,88,32,1,1,1,1,1
TEN,2021,12,5,0,0.706,65,26,1,1,0,0,0
ARI,2021,11,6,0,0.647,83,23,1,0,0,0,0
BUF,2021,11,6,0,0.647,194,25,1,1,0,0,0
CIN,2021,10,7,0,0.588,84,31,1,1,1,1,0
LV,2021,10,7,0,0.588,-65,22,1,0,0,0,0
NE,2021,10,7,0,0.588,159,21,1,0,0,0,0
SF,2021,10,7,0,0.588,62,29,1,1,1,0,0
PIT,2021,9,7,1,0.559,-55,20,1,0,0,0,0
IND,2021,9,8,0,0.529,86,16,0,0,0,0,0
LAC,2021,9,8,0,0.529,15,17,0,0,0,0,0
MIA,2021,9,8,0,0.529,-32,15,0,0,0,0,0
NO,2021,9,8,0,0.529,29,18,0,0,0,0,0
PHI,2021,9,8,0,0.529,59,19,1,0,0,0,0
BAL,2021,8,9,0,0.471,-5,14,0,0,0,0,0
CLE,2021,8,9,0,0.471,-22,13,0,0,0,0,0
MIN,2021,8,9,0,0.471,-1,12,0,0,0,0,0
ATL,2021,7,10,0,0.412,-146,8,0,0,0,0,0
DEN,2021,7,10,0,0.412,13,9,0,0,0,0,0
SEA,2021,7,10,0,0.412,29,10,0,0,0,0,0
WAS,2021,7,10,0,0.412,-99,11,0,0,0,0,0
CHI,2021,6,11,0,0.353,-96,7,0,0,0,0,0
CAR,2021,5,12,0,0.294,-100,6,0,0,0,0,0
HOU,2021,4,13,0,0.235,-172,3,0,0,0,0,0
NYG,2021,4,13,0,0.235,-158,5,0,0,0,0,0
NYJ,2021,4,13,0,0.235,-194,4,0,0,0,0,0
DET,2021,3,13,1,0.206,-142,2,0,0,0,0,0
JAX,2021,3,14,0,0.176,-204,1,0,0,0,0,0
KC,2020,14,2,0,0.875,111,31,1,1,1,1,0
BUF,2020,13,3,0,0.813,126,30,1,1,1,0,0
GB,2020,13,3,0,0.813,140,29,1,1,1,0,0
NO,2020,12,4,0,0.75,145,28,1,1,0,0,0
PIT,2020,12,4,0,0.75,104,24,1,0,0,0,0
SEA,2020,12,4,0,0.75,88,23,1,0,0,0,0
BAL,2020,11,5,0,0.688,165,27,1,1,0,0,0
CLE,2020,11,5,0,0.688,-11,26,1,1,0,0,0
IND,2020,11,5,0,0.688,89,21,1,0,0,0,0
TB,2020,11,5,0,0.688,137,32,1,1,1,1,1
TEN,2020,11,5,0,0.688,52,22,1,0,0,0,0
LAR,2020,10,6,0,0.625,76,25,1,1,0,0,0
MIA,2020,10,6,0,0.625,66,18,0,0,0,0,0
ARI,2020,8,8,0,0.5,43,16,0,0,0,0,0
CHI,2020,8,8,0,0.5,2,20,1,0,0,0,0
LV,2020,8,8,0,0.5,-44,17,0,0,0,0,0
LAC,2020,7,9,0,0.438,-42,13,0,0,0,0,0
MIN,2020,7,9,0,0.438,-45,14,0,0,0,0,0
NE,2020,7,9,0,0.438,-27,15,0,0,0,0,0
WAS,2020,7,9,0,0.438,6,19,1,0,0,0,0
DAL,2020,6,10,0,0.375,-78,10,0,0,0,0,0
NYG,2020,6,10,0,0.375,-77,11,0,0,0,0,0
SF,2020,6,10,0,0.375,-14,12,0,0,0,0,0
CAR,2020,5,11,0,0.313,-52,8,0,0,0,0,0
DEN,2020,5,11,0,0.313,-123,9,0,0,0,0,0
DET,2020,5,11,0,0.313,-142,7,0,0,0,0,0
CIN,2020,4,11,1,0.281,-113,5,0,0,0,0,0
PHI,2020,4,11,1,0.281,-84,6,0,0,0,0,0
ATL,2020,4,12,0,0.25,-18,4,0,0,0,0,0
HOU,2020,4,12,0,0.25,-80,3,0,0,0,0,0
NYJ,2020,2,14,0,0.125,-214,2,0,0,0,0,0
JAX,2020,1,15,0,0.063,-186,1,0,0,0,0,0
BAL,2019,14,2,0,0.875,249,28,1,1,0,0,0
GB,2019,13,3,0,0.813,63,30,1,1,1,0,0
NO,2019,13,3,0,0.813,117,24,1,0,0,0,0
SF,2019,13,3,0,0.813,169,31,1,1,1,1,0
KC,2019,12,4,0,0.75,143,32,1,1,1,1,1
NE,2019,12,4,0,0.75,195,23,1,0,0,0,0
SEA,2019,11,5,0,0.688,7,27,1,1,0,0,0
BUF,2019,10,6,0,0.625,55,22,1,0,0,0,0
HOU,2019,10,6,0,0.625,-7,26,1,1,0,0,0
MIN,2019,10,6,0,0.625,104,25,1,1,0,0,0
LAR,2019,9,7,0,0.563,30,20,0,0,0,0,0
PHI,2019,9,7,0,0.563,31,21,1,0,0,0,0
TEN,2019,9,7,0,0.563,71,29,1,1,1,0,0
CHI,2019,8,8,0,0.5,-18,19,0,0,0,0,0
DAL,2019,8,8,0,0.5,113,17,0,0,0,0,0
PIT,2019,8,8,0,0.5,-14,18,0,0,0,0,0
ATL,2019,7,9,0,0.438,-18,16,0,0,0,0,0
DEN,2019,7,9,0,0.438,-34,15,0,0,0,0,0
IND,2019,7,9,0,0.438,-12,13,0,0,0,0,0
LV,2019,7,9,0,0.438,-106,12,0,0,0,0,0
NYJ,2019,7,9,0,0.438,-83,11,0,0,0,0,0
TB,2019,7,9,0,0.438,9,14,0,0,0,0,0
CLE,2019,6,10,0,0.375,-58,10,0,0,0,0,0
JAX,2019,6,10,0,0.375,-97,9,0,0,0,0,0
ARI,2019,5,10,1,0.344,-81,8,0,0,0,0,0
CAR,2019,5,11,0,0.313,-130,7,0,0,0,0,0
LAC,2019,5,11,0,0.313,-8,6,0,0,0,0,0
MIA,2019,5,11,0,0.313,-188,5,0,0,0,0,0
NYG,2019,4,12,0,0.25,-110,4,0,0,0,0,0
DET,2019,3,12,1,0.219,-82,3,0,0,0,0,0
WAS,2019,3,13,0,0.188,-169,2,0,0,0,0,0
CIN,2019,2,14,0,0.125,-141,1,0,0,0,0,0
LAR,2018,13,3,0,0.813,143,31,1,1,1,1,0
NO,2018,13,3,0,0.813,151,30,1,1,1,0,0
CHI,2018,12,4,0,0.75,138,24,1,0,0,0,0
KC,2018,12,4,0,0.75,144,29,1,1,1,0,0
LAC,2018,12,4,0,0.75,99,28,1,1,0,0,0
HOU,2018,11,5,0,0.688,86,23,1,0,0,0,0
NE,2018,11,5,0,0.688,111,32,1,1,1,1,1
BAL,2018,10,6,0,0.625,102,22,1,0,0,0,0
DAL,2018,10,6,0,0.625,15,27,1,1,0,0,0
IND,2018,10,6,0,0.625,89,26,1,1,0,0,0
SEA,2018,10,6,0,0.625,81,21,1,0,0,0,0
PIT,2018,9,6,1,0.594,68,20,0,0,0,0,0
PHI,2018,9,7,0,0.563,19,25,1,1,0,0,0
TEN,2018,9,7,0,0.563,7,19,0,0,0,0,0
MIN,2018,8,7,1,0.531,19,18,0,0,0,0,0
CLE,2018,7,8,1,0.469,-33,17,0,0,0,0,0
ATL,2018,7,9,0,0.438,-9,14,0,0,0,0,0
CAR,2018,7,9,0,0.438,-6,16,0,0,0,0,0
MIA,2018,7,9,0,0.438,-114,13,0,0,0,0,0
WAS,2018,7,9,0,0.438,-78,15,0,0,0,0,0
GB,2018,6,9,1,0.406,-24,12,0,0,0,0,0
BUF,2018,6,10,0,0.375,-105,9,0,0,0,0,0
CIN,2018,6,10,0,0.375,-87,11,0,0,0,0,0
DEN,2018,6,10,0,0.375,-20,10,0,0,0,0,0
DET,2018,6,10,0,0.375,-36,8,0,0,0,0,0
JAX,2018,5,11,0,0.313,-71,7,0,0,0,0,0
NYG,2018,5,11,0,0.313,-43,6,0,0,0,0,0
TB,2018,5,11,0,0.313,-68,5,0,0,0,0,0
LV,2018,4,12,0,0.25,-177,4,0,0,0,0,0
NYJ,2018,4,12,0,0.25,-108,3,0,0,0,0,0
SF,2018,4,12,0,0.25,-93,2,0,0,0,0,0
ARI,2018,3,13,0,0.188,-200,1,0,0,0,0,0